Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
842595121766,Energy Drink,1,329,n,n,C4skittles,C4skittles,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595125092,Energy Drink,1,299,n,n,C4 smart energy watermelon burst,C4 Smart Energy Watermelon Burst,12oz,,n,1,0,0,n,,-3,,,,,,n,,,,,,,
842595126198,Energy Drink,1,299,n,n,C4,C4,,y,n,1,1,0,n,,-26,,,,,,n,,,,,,,
842595126921,Energy Drink,1,249,n,n,C4 smart energy strawberry guava,C4 Smart Energy Strawberry Guava,12oz,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
842595127027,Energy Drink,1,329,n,n,C4 Orange cream,C4 Orange Cream,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595131253,Energy Drink,1,299,n,n,C4,C4,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595131277,Energy Drink,1,329,n,n,W,W,16 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595131291,Soda & Drink's,1,329,n,n,C4 pop sicle,C4 Pop Sicle,16floz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595133608,Food,1,329,n,n,C4 performance,C4 Performance,16oz,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842595134964,Beer,1,329,n,n,C4 JOLLY RANCHER watermelon,C4 Jolly Rancher Watermelon,16oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595134971,Energy Drink,1,329,n,n,C4   JOLLY RANCHER green apple,C4 Jolly Rancher Green Apple,16 oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595138269,Energy Drink,1,329,n,n,Rys fuel lemonade,Rys Fuel Lemonade,16floz,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
